full_name,gender,state
Robert Ortiz,M,Colorado
Ismael Moore,M,Alaska
Patricia Ford,F,New Jersey
Ward Graham,M,New Jersey
Harry Bellows,M,Virginia
William Mason,M,California
John Strickland,M,Alabama
Anita Dodson,F,Georgia
Robert Johnson,M,Virginia
Michael Rock,M,Nevada
Bradley Hebert,M,Alabama
Mathew Taylor,M,Alaska
Grace Purpura,F,Connecticut
Alexander Lampkin,M,Georgia
Kelly Thompson,F,Connecticut
Verna Stone,F,Colorado
Jason Cruz,M,California
Paula Parker,F,Alaska
Patricia Longbrake,F,Arkansas
Barbara Posada,F,Georgia
Dawn Burns,F,New York
Robin Counts,M,Florida
Jacqueline Hamilton,F,Arizona
Frank Bradley,M,Nevada
Rosa Moss,F,Nevada
Ana Bursi,F,California
Adam Miller,M,Arizona
Doreen Park,F,Nevada
Debbie Gamache,F,Arizona
Patricia Replogle,F,Arkansas
Bernardo Rzeszutko,M,Alaska
Cornell Thibodeaux,M,New Jersey
Yolanda Soza,F,Connecticut
Tara Lingafelter,F,Alabama
Geraldine Aldredge,F,Colorado
Brenda Page,F,Virginia
Vanessa Phelps,F,Georgia
Karen Cole,F,Virginia
Elisabeth Watts,F,Connecticut
Ricarda Dennis,F,Colorado
Nancy Peterson,F,New York
Aliza Guymon,F,New Jersey
Raymond Heyward,M,Connecticut
Susanna King,F,Arizona
Brenda Williams,F,Colorado
Arthur Martin,M,Arkansas
John Perdomo,M,Arkansas
Rebecca Custer,F,Texas
Susan Gains,F,Alabama
Lawrence Martin,M,Arkansas
Randall Ruiz,M,Connecticut
Charles Reitan,M,Virginia
Lawrence Wold,M,Alaska
Brian Bush,M,Texas
Donald Connolly,M,Arizona
Christopher Muriel,M,New Jersey
Holly Mcclellan,F,Florida
James Robb,M,Georgia
Alex Reynolds,M,Colorado
Oscar Kepler,M,Nevada
Nicole Caputo,F,Arkansas
Terri Franco,F,Virginia
Evelyn Herrera,F,Virginia
Rudolph Massengale,M,Arizona
Joseph Paetzold,M,Virginia
Laura Mitchell,F,Georgia
Nicole White,F,Alaska
Craig Parker,M,California
Carole Rollman,F,New Jersey
Russell Moreira,M,Arkansas
Michele Reel,F,New York
Irene Spring,F,Virginia
Betty Platt,F,Arkansas
Wilbur Perkins,M,Nevada
Eugene Strother,M,Arizona
Robert Lyons,M,Colorado
Russell Kyser,M,New Jersey
Daniel Moran,M,Alabama
Kristin Williams,F,Virginia
Gary Osuna,M,Arizona
Donald Oram,M,New York
Allen Simpson,M,Texas
Graig Semple,M,Colorado
Kyle Pariente,M,Alaska
Michael George,M,Arkansas
Walter Torres,M,Colorado
Rachel Thomas,F,Arkansas
Levi Broughton,M,Alabama
Daniel Jones,M,Arkansas
Dwayne Harrison,M,Colorado
Helen Durfee,F,Florida
Eric Burrell,M,Alabama
Michael Lim,M,Alaska
Frank Barkan,M,Georgia
Randolph Stewart,M,Connecticut
Cecily Jugo,F,Georgia
Katie Coles,F,Nevada
Phillip Richardson,M,California
Gertrude Dodson,F,Arkansas
Earl Wynne,M,California
Santiago Cole,M,Nevada
Dorothy Huckaby,F,Virginia
William Kennedy,M,Arizona
Willard Bullen,M,Arizona
Jamel Gordon,M,California
Jack Berry,M,Nevada
Terry Bates,M,Alabama
Mary Roth,F,Nevada
Jill Ahrenholtz,F,Colorado
Charles Ruhland,M,Nevada
Gary Mcculley,M,Virginia
Kenneth Corwin,M,Colorado
Helen Cornelison,F,California
Francisco Parks,M,Texas
Hans Lyons,M,Connecticut
Ted Whitaker,M,Arkansas
Mary Mcleod,F,Connecticut
Dora Davis,F,California
Rafaela Solomon,F,Arkansas
Elliot Murray,M,Georgia
Marvin Richardson,M,Alaska
Holly Watters,F,New York
Maria Jones,F,Florida
Rodney Degarmo,M,Alabama
Elizabeth Ingalls,F,Arkansas
Chris Gaydosh,M,Virginia
Eric Midgett,M,Texas
Gerald Benson,M,Georgia
Stella Mello,F,Colorado
James Noah,M,Arkansas
Chris Mack,M,Alabama
Dale Mahon,M,Connecticut
Jennifer Walton,F,Nevada
Dorothy Gonzalez,F,Virginia
Robert Sheldon,M,Colorado
Margaret Arndt,F,Nevada
Sandy Chen,F,Nevada
Genevieve Johnson,F,Alabama
Lea Krumroy,F,California
Tracey Roy,F,Arkansas
Jonathan Bentley,M,New York
Scott Lall,M,Georgia
Lesley Tuley,F,Texas
Chandra Kleine,F,Texas
Kathy Freeman,F,Virginia
Velma Brown,F,Alaska
Susan Josefy,F,Alabama
Mary Daigle,F,New York
Maryann Hunsinger,F,Georgia
Dorothy Powell,F,Alaska
James Newcomb,M,Virginia
Elicia Merchant,F,Colorado
Helen Wight,F,Georgia
Gladys Douglass,F,Georgia
Barbara Hill,F,New York
Shawn Groulx,F,Arkansas
Judy Thomas,F,Nevada
Karl Andersen,M,Georgia
Robin Camacho,F,Arkansas
Jacob Vonholt,M,Nevada
George Benett,M,Arizona
Karen Paul,F,Georgia
Woodrow Baird,M,Colorado
Marion Underwood,M,Arizona
Robert Bullock,M,Arizona
Scott Pfahler,M,Arkansas
Susan Lee,F,Texas
Adam Edes,M,Arizona
Gerardo Beaudoin,M,Texas
Alan Lopez,M,Arkansas
John Nash,M,Arkansas
Edward Sanchez,M,Alabama
Beth Gray,F,California
Robert Lindberg,M,Alaska
James Chavira,M,Florida
Lou Frezzo,F,Arkansas
James Gustin,M,Texas
Karen Brown,F,Arkansas
Jacqueline King,F,New York
Kara Marshall,F,California
Sherika Travelstead,F,Nevada
George Bryant,M,Connecticut
Abdul Leach,M,New Jersey
Benjamin Dismukes,M,Georgia
Riley Little,M,Florida
Krista Gregg,F,Alaska
James Smith,M,New Jersey
Christopher Shinnick,M,Virginia
Chad Robertson,M,Georgia
Virgil Fleck,M,California
William Menchaca,M,Colorado
Donna Washington,F,Arizona
Clifford Tucker,M,Texas
David Griffin,F,Nevada
Robert Thornberry,M,Nevada
Mitchell Haag,M,Georgia
Lillie Hanson,F,Arizona
Maria Gold,F,Virginia
Lucille Ray,F,Arizona
Brenda Haider,F,Florida
Anne Sanchez,F,California
Melissa Dixon,F,Virginia
Ted Rose,M,Colorado
Dalton Wilson,M,New York
Velma Barker,F,Colorado
Lyle Lawler,M,Colorado
Carolyn Weinberg,F,Texas
Mitchell Karas,M,Florida
Jeremy Mccann,M,Arizona
Leona Arce,F,New Jersey
Gino Senne,M,New York
Paul Harding,M,Nevada
Frank Pierce,M,Connecticut
Frances Andress,F,Nevada
Ernesto Davis,M,Connecticut
Lilian Hull,F,Arkansas
John Talley,M,Alabama
Sharon Doe,F,Alaska
Richard Dicks,M,Alaska
Fred Clark,M,California
Gregory Richmond,M,Nevada
Charles Lichty,M,Virginia
Brett Dash,M,New Jersey
Wayne Baker,M,Virginia
Janis Elmore,F,Texas
Beverly Carrington,F,New York
Alicia Roth,F,California
Ira Paetzold,M,Texas
Irene Amos,F,Texas
Jeff Mellott,M,Connecticut
Jessica Lee,F,Georgia
Patricia Robinson,F,Alaska
Mary Kolesar,F,Alabama
Allen Baker,M,Florida
Maria Merrett,M,New York
Althea Black,F,Arizona
Michael Spalla,M,California
Kenneth Whittaker,M,Arizona
Herbert Guest,M,California
Maxine Geiser,F,Texas
Curtis Donovan,M,Alabama
Catherine Muscarella,F,New Jersey
Janet Josephson,F,Texas
Loretta Mcknight,F,Georgia
Ernesto Coffman,M,California
Bennett Goodwin,M,Florida
Jessie Fitzgerald,F,Colorado
Luis Jones,M,Colorado
Brandon Ketcham,M,Alabama
Barbara Ward,F,New Jersey
Judith March,F,Georgia
Judy Blake,F,Arizona
Nancy Mcalexander,F,Arizona
Thomas Petrich,M,Colorado
David Sanchez,M,New York
Regina Spain,F,California
Tracy Hendrix,F,Nevada
Oscar Crawford,M,New York
Maria Morlock,F,New York
Brandi Hoffman,F,New Jersey
Katie Duke,F,California
Jacob Valenti,M,Connecticut
Jessica Walker,F,Georgia
Sarah Leblanc,F,New York
Amber Chalender,F,Texas
Dick Deramus,M,New Jersey
Latricia Fisher,F,Georgia
Lynda Leslie,F,Connecticut
Misty Boyd,F,Colorado
Donna Richardson,F,Connecticut
Robert Urankar,M,New York
Eva Rios,F,New Jersey
Elizabeth Frazier,F,Texas
Amos Cabading,M,Colorado
Joel Bowie,M,Texas
Constance Mahoney,F,California
Ralph Casas,M,Texas
Gladys Evans,F,Nevada
Deborah Wrona,F,New York
Janet Sloan,F,Colorado
Aaron Spader,M,Connecticut
Minnie Farrell,F,Colorado
Maria Allaire,F,Colorado
David Henderson,M,Texas
Scott Brewster,M,Texas
Charles White,M,Florida
Ruth Debell,F,Connecticut
Cari Gordon,F,Virginia
Kathleen Duncan,F,Virginia
Garrett Bennett,M,Georgia
Kyle Paredes,M,Texas
Steven Diaz,M,New York
Dewayne Cockerham,M,New Jersey
Alexander Fernandez,M,Georgia
Fern Gallegos,F,New Jersey
Richard Teaff,M,Arkansas
Rhonda Whyte,F,Georgia
Marian James,F,Virginia
Kimberly Wonders,F,Alabama
Pauline Smith,F,Texas
Michelle Carman,F,Arizona
Eli Davis,M,Florida
Jason Calton,M,Colorado
Marion Harrell,M,Alabama
Norma Guyette,F,Connecticut
Raymond Bryant,M,Georgia
Jessie Clayton,M,Florida
Bonnie Davies,F,New Jersey
Sandra Cox,F,New York
Robert Wilson,M,Virginia
Leonard Williams,M,Alaska
Alberta Jones,F,California
Mark Williams,M,Nevada
Alicia Davis,F,Colorado
Robin Ritter,F,Texas
Keith Lee,M,Alabama
Spring Borke,F,Arkansas
Christopher Ross,M,Arizona
Reba Dunning,F,Virginia
Lauretta Myrick,F,Texas
Lesley Lugo,F,Arizona
Elizabeth Evans,F,New Jersey
Elizabeth Smith,F,Texas
Steven Parker,M,California
John Oneal,M,Connecticut
Terry Richards,M,Colorado
Steven Cokely,M,Georgia
Emilie Jageman,F,Texas
Helen Sweet,F,New York
Patricia Ray,F,Arkansas
Tamara Bates,F,Alaska
Magdalene Grimes,F,Virginia
Katina Winer,F,Alabama
Ernesto Wade,M,Florida
Lorenzo Shearer,M,Florida
Joshua Kanter,M,Virginia
Benjamin Chan,M,California
Curtis Boucher,M,Alabama
Dusty Ferree,M,New York
Helen Barton,F,Alaska
Christina Rubin,F,Texas
George Connolly,M,Virginia
Calvin Johnson,M,New Jersey
Karen Murphy,F,Colorado
Steven Romero,M,Arizona
Albert Roach,M,Arkansas
Edith Soto,F,Virginia
Wanita Nugent,F,New York
Lillian Pitcock,F,New Jersey
Anthony Walker,M,Florida
Rogelio Bosworth,M,New Jersey
Tony Downing,M,Connecticut
Ruby Riegel,F,Texas
Ruby Ramos,F,Virginia
Janet Chester,F,Florida
Brad Wells,M,Texas
Peter Pina,M,New Jersey
Daniel Falkowski,M,Nevada
Elizabeth Filmore,F,Arizona
Sarah Hood,F,New York
James Warren,M,Florida
Andrea Mcdowell,F,Florida
Kevin Isom,M,Arkansas
Jamie Denner,F,Alabama
Diana Rogers,F,Nevada
Mary Colon,F,Arkansas
Neal Quinn,M,Colorado
Cassidy Iturbe,F,Alaska
Debbie Dubuque,F,New York
Eric Paine,M,Florida
Elmer Johnson,M,Connecticut
Derek Fox,M,Nevada
Mary Grado,F,Nevada
Bradley Corf,M,Colorado
Mark Henry,M,Alabama
Elizabeth Brossard,F,New Jersey
Gloria Opperman,F,California
Kathryn Gonzalez,F,Florida
Mable Middleton,F,California
Frank Garland,M,Alaska
Jeri Perez,F,Connecticut
Deshawn Kelly,M,Virginia
Keren Simons,F,Nevada
Debbie Arispe,F,Arizona
Kellie Hall,F,Alabama
Rosalia Newman,F,New York
Brian Bade,M,Alabama
Salvador Ramirez,M,Nevada
Lee Wolf,M,Texas
Charles Argenbright,M,New Jersey
Maggie Cardillo,F,Arkansas
Frank Nelson,M,Alaska
Hugh Lopez,M,Nevada
Mara Walker,F,Arkansas
Queen Zellers,F,Arizona
Joseph Kozlowski,M,Alaska
Denise Hansberry,F,New York
Bessie Reid,F,Texas
Shannon Jendras,M,Texas
Keith Edward,M,Colorado
Patricia Gonnella,F,Florida
Timothy Wilder,M,Arkansas
Lillian Laney,F,Alaska
Dana Lozano,F,California
Arthur Webb,M,Arizona
David Kent,M,Alaska
Erma Lisonbee,F,Florida
Doris Oneill,F,Alaska
Shanda Harrison,F,Texas
Martha Gildner,F,Texas
George Rios,M,Texas
Charlie Teeter,M,Florida
Evan Burnham,M,Nevada
Paul Gravitt,M,Virginia
James Denton,M,Colorado
Jennifer Mobilia,F,Alaska
Sandra Reardon,F,Alabama
Aurora Cozzi,F,Alabama
Wynona Alfaro,F,Texas
Cathleen Armstrong,F,Virginia
Rene Huntley,F,New Jersey
Henrietta Stanley,F,Alaska
Rebecca Allison,F,Alabama
Jose Thomas,M,Virginia
Timothy Weiner,M,Texas
Joseph Fitch,M,Florida
Marjorie Gist,F,Virginia
Virginia Duffy,F,Georgia
John Mcelligott,M,Arkansas
Elizabeth Fails,F,Texas
Maria Presha,F,Alaska
Steven Dooley,M,Alaska
Susan James,F,Virginia
Mary Walsh,F,Arkansas
Ethel Willis,F,Arizona
Johnny Bates,F,Colorado
Isaiah Overmyer,M,California
Brittany Leigland,F,New York
Reed Schill,M,Alaska
Beverly Mckinney,F,Virginia
Tyrone Towner,M,Georgia
Anthony Gomez,M,Arizona
Trisha Douglas,F,Texas
Tina Dodd,F,Nevada
Michelle Donatich,F,Arkansas
Anthony Tolley,M,Virginia
Michael Ramsey,M,Florida
Brandon Bungard,M,New York
William Whitaker,M,Alaska
Christine Anderson,F,Alabama
Jose Russell,M,California
John Brown,M,Arizona
Layla Vangilder,F,Georgia
Orville Mcmillan,M,Arkansas
Teresa Pena,F,Texas
Erica Lai,F,Georgia
Julia Rogers,F,Connecticut
James Ciaccio,M,Connecticut
Kristopher Scriven,M,Arkansas
Brian Robison,M,Texas
Michael Flores,M,California
Derek Irizarry,M,Alabama
Russ Dam,M,Alaska
James Morales,M,Alaska
Bradford Hill,M,Georgia
Scott Leffew,M,California
Donna Wong,F,Colorado
David Hoyos,M,Nevada
Zachary Miller,M,Florida
Paul Geiger,M,Texas
Lisa Pale,F,Colorado
Otis Hernandez,M,Florida
Jesus Gonzalez,M,Connecticut
Roy Lanzarin,M,New York
Peggy Pryor,F,Virginia
Audrey Jackson,F,California
Frances Jones,F,Alabama
David Williams,M,Alabama
Callie Pollard,F,Arizona
Olivia Flores,F,Alabama
James Biggs,M,Colorado
John Eskola,M,Nevada
Karen Higgs,F,Connecticut
Sandra Day,F,Florida
Mary Dacruz,F,Colorado
Albert Shapiro,M,Alaska
Nancy Clay,F,Arizona
Joanne Hazen,F,Alabama
John Ramirez,M,Colorado
Pauline Smith,F,Arizona
Courtney Taylor,F,Nevada
Charles Rodriguez,M,Georgia
Gloria Cardone,F,Georgia
Aida Lipe,F,Nevada
Stephanie George,F,Arkansas
Harry Maiava,M,Alaska
Donna Edwards,F,Alaska
Arthur Wright,M,Alaska
Deborah Mcswain,F,Florida
Jin Brown,F,New Jersey
Adam Woo,M,New Jersey
Harold Adams,M,Arkansas
Debbie Okeefe,F,New Jersey
Mario Waite,M,Alabama
Juanita Mueller,F,Colorado
Gregory Colman,M,Alabama
Steven Smith,M,California
Tammy Heinrich,F,New York
Robert Gloria,M,Alaska
Collin Skorupa,M,New York
Jane Nelson,F,Nevada
Nyla Smith,F,Colorado
Betty Mcguire,F,Nevada
Carmen Serano,F,New York
Douglas Hill,M,Alaska
Chloe Sager,F,Alaska
Robert Blackwell,M,Colorado
Lottie Papay,F,Alaska
Amy Lemaster,F,Texas
David Olson,M,New York
Krista Croghan,F,Alaska
Lynn Butler,F,Virginia
William Burkley,M,Connecticut
Patricia Thompson,F,California
Theodore Meadows,M,Georgia
Dolores Jefferson,F,Florida
Steve Arndt,M,Connecticut
Glenn Quarles,M,Connecticut
Laci White,F,Nevada
Ann Matthews,F,Colorado
Richard Cosby,M,New York
Georgia Garcia,F,Georgia
Nicholas Morabito,M,Arkansas
Catherine Royer,F,Arizona
Robert Stechlinski,M,California
Margie Johnson,F,Arkansas
Deborah Schnader,F,Connecticut
Hazel Mcclain,F,Florida
Marcia Dean,F,New York
Maria Cherry,F,Texas
Patricia Ledbetter,F,Arizona
Mary Wade,F,New Jersey
Diana Westberry,F,California
Mitchell Short,M,Texas
Nancy Owens,F,Colorado
Andrew Kelly,M,Florida
Odelia Moore,F,New York
Janice Mcguire,F,California
Wilton Bautista,M,Arkansas
Clara Illsley,F,Texas
William Delreal,M,California
Heidi Roberts,F,Alabama
Nancy Hamilton,F,New York
Susan Segraves,F,Georgia
Richard Mann,M,Connecticut
Jonathon Aracena,M,Colorado
Melissa Rodriguez,F,Arizona
Rebecca Lorenz,F,Arkansas
Leigh Irving,F,Connecticut
Guy Duncan,M,Nevada
Rachel Hanson,F,California
Wendi Holohan,F,New York
David Narvaez,M,Arizona
Christopher Hildreth,M,California
Shelia Phuong,F,Colorado
Maria Broom,F,Texas
John Brown,M,New Jersey
Pearl Potts,F,Arkansas
Douglas Lachance,M,Colorado
John Davis,M,New Jersey
Jorge White,M,New York
Debbie Harris,F,Colorado
Ronnie Williams,M,California
Maria Perkins,F,New York
Anna Hintz,F,Colorado
Gertie Garland,F,Virginia
Blanche Caughey,F,New York
Christina Pacheco,F,Virginia
Neil Harvilla,M,Connecticut
Megan Jones,F,Connecticut
Michael Garcia,M,New Jersey
Amy Valdivia,F,Florida
Katherine Miller,F,Nevada
Annie Schott,F,Alabama
Corrin Aponte,F,Alabama
June Walla,F,Colorado
Ila More,F,New Jersey
Clyde Meldahl,M,Nevada
Walter Bell,M,Arizona
Sonia Miles,F,California
Alfredo Sanos,M,Colorado
Charles Hanna,M,California
Helen Sweat,F,Alabama
Jody Davis,F,Colorado
Nathaniel Minihane,M,Florida
Betty Hamed,F,Connecticut
Carl Guerrero,M,California
Susan Wallace,F,Alaska
Robin Norman,F,New Jersey
Paula Solian,F,California
Patty Quarles,F,California
Marjorie Hiemstra,F,Arkansas
Brian Copeland,M,Florida
Michael Stremming,M,Arizona
Evelyn Nolan,F,Connecticut
Ashley Weich,F,Nevada
John Long,M,Georgia
Stanley White,M,Nevada
Jennifer Rush,F,Virginia
Harriette Andersen,F,Texas
Kelly Brinks,F,Connecticut
Robert Snell,M,Nevada
Michelle Mccraney,F,Nevada
Rudy Kaeo,M,Georgia
John Reynolds,M,Nevada
Sheila Hanson,F,Georgia
Ronald Smith,M,Virginia
Jack Perkins,M,Alaska
Tina Pecora,F,Georgia
Clyde Myrlie,M,Texas
Jeffrey Jopling,M,Alabama
John Reynolds,M,Arkansas
Irene Jeffers,F,California
Geraldine Silva,F,Colorado
Jennifer Eastburn,F,Georgia
Briana Masuda,F,Texas
Richard Monger,M,Georgia
Diana Pinkham,F,Nevada
Joshua Roques,M,Arizona
Melody Dooley,F,Arkansas
Jason Allen,M,New Jersey
Richard Robinson,M,Georgia
Renee Tudor,F,Florida
Kenneth Kuykendall,M,Virginia
Ann Knight,F,Connecticut
Joseph Krawczyk,M,New York
Charlotte James,F,Arizona
Thelma Sterry,F,Alaska
Richard Burke,M,Alaska
Lynn Besser,F,Nevada
Theresa Enz,F,Connecticut
